jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
jadine_uplb,"Okay I think we're off from here! 

REIDY TO WIN
#VoteJamesFPP #KCA"
LimitlessCha,HOY VENUS RAJ NG UPLB HAPPIEST BIRTHDAY SAYO WIWIIIT ILY AND GOODLUCK NAMAN SATING TEAM PACIANO DI BA ANEK NA HAHA @isiahdalawa HEART HEART
Casketers,"Sci paper pa more (@ University of the Philippines Los Ba�os (UPLB) in Los Ba�os, Laguna) https://t.co/46gSVrfnvW"
JaDinexUPD,"@jadine_uplb @thosectylights from the most prestigious university in the Philippines!

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Team UP here! @JaDinexUPD 

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/LRtr41mZXy"
jadine_uplb,"Nothing is impossible! (ctto)

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/ywiQg3FVAL"
cutejgwapo,Please like the Public Page of the UPLB Biomath (to be used for updates and news):... https://t.co/QSSseLYdYa
rakkiroad,@charlenearkaina Charrrr!!!! Follow @jadine_uplb! Its ours! <U+263A> Are you up? DM ko sayo password? <U+263A>
cutejgwapo,UPDATE from UPLB Biomath (Thanks to Allen Lamarca Nazareno for preparing this):... https://t.co/nZ6dbDUYYV
ughlexisreid,"Chin @eyeney may UPLB chapter na JaDines HAHAHAHA nakakatuwa pls

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"I love the term VERY GRATEFUL! Nakakagana! 
No sleep, JaDines! Let's fight!
REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/UnpNUrZkrC"
jadine_uplb,"What's not to love in this woman? 
She is James' game changer!
REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/WNDggkLu1A"
awwwwwwwkward,@aprilangelaaa sa uplb ka diba? San ka nagdodorm? <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
srndp3dlt,bat kasi di niyo pa minove sa palarong uplb para di sumabay sa exams kasi for sure sa week na yon walang may exam
jadine_uplb,"@IrishDDizon @JaDine_Addicts Heneral, shout out naman jan! UP <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> JaDine! @JaDinexUPD 

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Utak, Puso, at JaDine!!! 

REIDY TO WIN
#VoteJamesFPP https://t.co/itucocnJzL"
jadine_uplb,"Hindi ko toh naisip! Nyahaha.

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/YeCQLDcPFf"
JaDinexUPD,"@jadine_uplb sorry medyo binaha ang feed! 

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Nice one UPD! Can't we get a follow back? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/icn6VWKU6s"
JaDinexUPD,"@wljdQC @jadine_uplb @JadinePublicist @ofcWeLoveJADINE @REIDersOfficial @jadinepexers shoutout for us too please! Utak, Puso at JaDine!"
dyannedes,@ladynashie you can't blame me I jgh from uplb and I'm exhausted
jadine_uplb,"Nothing! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/ikt79BDvbm"
jadine_uplb,"Love moves in mysterious ways <ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>
How much do you love James? 
(Cumocorny na dito)
REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Yes we will, loves <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> Please gather people who van follow us also if you know some.

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/SAPjoNXqbh"
jadine_uplb,@JaDineBeastMode @JadinePublicist She is <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>
jadine_uplb,"Losing is not part of the game! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/QjeZQrwjTq"
jadine_uplb,"UP all night here we go!!!!

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/JY4orYjAAC"
jadine_uplb,"We walk by faith not by vote that @JayeHanash will win this thing! Are you with us, JaDines?

REIDY TO WIN
#VoteJamesFPP #KCA"
JaDineBeastMode,"@jadine_uplb @JadinePublicist OMG. Wait. I can't think straight ahahaha. Let's push this plssss 
REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,Hi @NaddictsOfc. Can we ask for a shout out from you. We are new here but I think @JadinexUPD is already up and others are still coming!!! <U+263A>
seannniiieee,"@jadine_uplb Inform niyo nalang po ako kapag final na ang lahat. &lt;3

REIDY TO WIN
#VoteJamesFPP #KCA"
JaDineBeastMode,@jadine_uplb @JadinePublicist oooh! i didn't know that ate JP is from dlsu pala
jadine_uplb,"@seannniiieee Lol just kidding! Good luck then, iska and co-JaDine fan! Thank you for the love <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>

REIDY TO WIN
#VoteJamesFPP #KCA"
trishaduncan,@elfacastro ohhh i live in taft on weekdays. I visited uplb once nung first year cause wala lang and i miss it so wanna visit again hihi!
jadine_uplb,"@JaDineBeastMode Gather around then. UP, ADMU, NU, FEU, UST, I know @JadinePublicist is from DLSU <U+263A>"
seannniiieee,"@jadine_uplb Wag ganun. AMAT major akizzz. HAHAHA. 

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Hello @JaDinexUPD!!!! Let's Marvin Gaye and get it on!!! Let's win this thing with brilliant minds and beautiful hearts<ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

#VoteJamesFPP #KCA"
JaDineBeastMode,"@jadine_uplb HAHAHAH OMG WE'LL ASK THE ADMINS IF IT'S POSSIBLE. OMGGG 
REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"@seannniiieee Yes alumni iska kami.. Ahhh, MB - ""the road usually retaken"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Ahahaha! This is a REAL GAME CHANGER <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/K0VyaNPBlz"
seannniiieee,"@jadine_uplb You are an alumnus? or an alumna? Sure pero baka MB lang. HAHAHA. Doon lang ako madalas e.

REIDY TO WIN
#VoteJamesFPP #KCA"
jadineloveydove,"@jadine_uplb love, cant dm. Di yata naka enable yung dm allowed for everyone <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
jadine_uplb,@143_stargazing @ughlexisreid @NADJAYEKOL @damnlioness @sighjadine @reidandlustre @JaDineBeastMode @jdaesthetic Make it official! Go UST <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
jadine_uplb,"@seannniiieee I miss UPLB na! Kiss it for me, LOL <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Keep in touch love! Don't stop voting!!!!

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Toss the ball and play the game fair and square! 

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/1oZB9ljqRM"
trishaduncan,@elfacastro haha thanks talaga!!! &lt;3 are you still in uplb? Will visit soon and hope to see you there :))
jadine_uplb,@jadineloveydove Suuuure <U+263A><U+263A><U+263A>
jadine_uplb,"We would love to! But first thing's first, let's get a body slimed!

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/AOwGie2AGi"
JaDineBeastMode,"@jadine_uplb @JaDinexUPD kung UAAP JADINE KAYA? AHHHAHAHAH 
REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,As much as we would want to but pls give us some time to establish our acct po muna. I think may @JadinexUPD na? <U+263A> https://t.co/b5dscs0blr
jadine_uplb,"Please do not forget the hashtag loves <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"@jdaesthetic Let's Marvin Gaye and get it on! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

REIDY TO WIN
#VoteJamesFPP #KCA"
ianpaulx,"Back from UPLB together with my ""fucked-too-hard brain and feels"""
jadine_uplb,"@JaDineBeastMode Let's go UP JaDine babies!!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#VoteJamesFPP #KCA"
143_stargazing,@ughlexisreid @NADJAYEKOL @damnlioness @sighjadine @reidandlustre @JaDineBeastMode @jdaesthetic @jadine_uplb yass!!<ed><U+00A0><U+00BD><ed><U+00B0><U+00AF><ed><U+00A0><U+00BD><ed><U+00B9><U+008B>
simarialigayako,@jessicanicolem Hihi Thank you!! Bisita ka minsan para makilala mo ang new hotties of UPLB hahaha char
seannniiieee,"@jadine_uplb Oh sure. HAHAHA. I am just around the campus. Mas madalas nga lang sa MB. HAHA. :)

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"UP won miraculously against ADMU.
Let's make it same with James against others!
REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/cAHejwaXvE"
jadine_uplb,@seannniiieee Give us time to establish the acct first and the FC na din so we can give it to you as well. Thank you for your love <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
jadine_uplb,@seannniiieee Hiiii. So many of you actually wants to join. Please give us time to think about this... I hope you understand.
JaDineBeastMode,"@jadine_uplb IM SO KILIGGG OMGGGG 
GAME NA GAME!
REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Please do soooo loves! Let our university games outside arena begin! Games sa pagsupport ha? <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#VoteJamesFPP #KCA https://t.co/ZT1sXhFw1U"
jadineloveydove,"@jadine_uplb grabe ayoko iannounce BWAHAHAHA is it okay if dm nalang? <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,@jadineloveydove Hiiii! What batch are you?
jadineloveydove,"@jadine_uplb super psyched for this i srsly wanna meet you guys hahaha!

REIDY TO WIN
#VoteJamesFPP #KCA"
spellecasster,@jadine_uplb Pwede ba from UPD? Hihi. Or gawin na lang buong UP system chapter to? hahahaha hi fellow isko/iska!!! #VoteJamesFPP #KCA
jdaesthetic,"@jadine_uplb hanap na tayo ng mga recruit

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"@Penumbra123 @Balooogggssssss Is it legit? @JaDinexUPD? we'll follow if it is!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
#VoteJamesFPP #KCA"
JaDineBeastMode,"@jadine_uplb Baka nga kami na nga hahaha. 
REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Thank you. We feel the love, JaDines!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

Are we REIDY TO WIN?
#VoteJamesFPP #KCA https://t.co/DqMnVCyz0K"
jadine_uplb,"Goo UPD Chapter! Samahan ntn ang panalo ng UP WVT natin kay James sa KCA kahit malalakas kalaban!
#VoteJamesFPP #KCA https://t.co/UgRH5OvUPQ"
jadine_uplb,"Go fellow iskas! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
For the love of @JayeHanash 

REIDY TO WIN

#VoteJamesFPP #KCA  https://t.co/cAHejwaXvE"
Penumbra123,@Balooogggssssss @Penumbra123 @jadine_uplb @JaDinexUPD legit na ba ito?? follow ko na kayo hahaha
jadine_uplb,"@Balooogggssssss Gooooo!!!! UP won today against THE defending AMDU, it's our time! Maybe its JaDine's time as well!
#VoteJamesFPP #KCA"
Balooogggssssss,@Penumbra123 @jadine_uplb HOY GAGS MAY GUMAWA NA NGA SA FRIENDS KO HAHAHAHA @JaDinexUPD
jadine_uplb,@lisakeur @ysamaine @Balooogggssssss @tadHANNAH Hi girls. <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
JD_ryann,"@jadine_uplb @jdaesthetic 
join ako dyan sa upd chapter
makibaka para kay hayme!!

REIDY TO WIN
#VoteJamesFPP #KCA"
seannniiieee,@jadine_uplb OMG! How to join? HAHAHA. UPLB student here. JaDine fan loud and proud. &lt;3 &lt;3
jadine_uplb,"Thanks Mama-san! We love your name, by the way! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
#VoteJamesFPP #KCA https://t.co/kY7nKAd4Mz"
JaDineBeastMode,@jadine_uplb Jadine UST here <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
jadine_uplb,"Why don't you start it? <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>

REIDY TO WIN
#VoteJamesFPP #KCA  https://t.co/ZT1sXhFw1U"
Penumbra123,@Balooogggssssss @jadine_uplb push na!!! haha marami kami sa cmc lol haha
JaDineBeastMode,@jdaesthetic @jadine_uplb SANA GUMAWA NA DIN UST AHHAHAH
MaybeRyanJoseph,Acads night daw <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @STP_UPLB https://t.co/TE9wPyAYdE
Balooogggssssss,@Penumbra123 @jadine_uplb gagi marami rami ng hatak sa Speech Comm if ever HAHAHAHAHHA
jadine_uplb,"Hello fellow iska! Why not? <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY TO WIN
#VoteJamesFPP #KCA  https://t.co/UgRH5OvUPQ"
jadineloveydove,"@jadine_uplb OMYGOD IM FROM UPLB DM ME LOVES!

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Thank you for welcoming us @fangirlhekate <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY TO WIN
#VoteJamesFPP #KCA  https://t.co/kY7nKAd4Mz"
Penumbra123,"@Balooogggssssss @jadine_uplb oh my god same thoughts. 
#VoteJamesFPP #KCA"
Judyannraniego1,"""@fangirlhekate: Uy Hi UPLB peeps! Follow them guys oh

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/Y6FT2BgDwA"""
jdaesthetic,"MAY @jadine_uplb NA ANO GUYS, GAWA NA BA TAYO NG UPD CHAPTER?

REIDY TO WIN
#VoteJamesFPP #KCA"
Balooogggssssss,"GUYS, MAY JADINE UPLB NA @jadine_uplb .... 

mag sstart ng ba ako ng Jadine UPD Chapter? Who's in? 

LOOOOLLLL"
preppyRENZ,UPLB ROTC the best omg congrats to us guys!!!!
fangirlhekate,"Uy Hi UPLB peeps! Follow them guys oh

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/StHP6Lb4Cr"
UPLB_SocioSoc,"See you tomorrow fellow iskos nd iskas
1-4pm CPCLH w/ Guest Speaker Brod @tonyocruz https://t.co/897UhxJecj"
jadine_uplb,"@IrishDDizon Hello Ms Irish. Can you give us a shout out? It'll mean a lot for our acct &amp; our humble starting fan's club.
#VoteJamesFPP #KCA"
tousmesdefauts,oh mygod march 11 nasa uplb si duterte it's my time
jadine_uplb,@fangirlhekate Hi mama-san! Please give us a shout out! We're new here <U+263A>
jadine_uplb,"Love is deep in a shallow horizon among people who can only understand. - @jadine_uplb <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#VoteJamesFPP #KCA https://t.co/Isxui7SO4U"
jadine_uplb,"We give the best to the best! Thank you @wljdQC for welcoming us! We appreciate it <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#VoteJamesFPP #KCA https://t.co/tGx3xjuy4e"
jadine_uplb,"Hello there fellow iska! Thanks for the shout out! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> 
#VoteJamesFPP #KCA https://t.co/0GLPBV8rPg"
jadine_uplb,"Hello @JadinePublicist @ofcWeLoveJADINE @REIDersOfficial @jadinepexers! Can you pls give us a shout out. It'll mean a lot
#VoteJamesFPP #KCA"
5sosftot4,@fetusftjmcvey gago taga uplb pa ako and bakit mo inakalang dun ako nagaaral HAHAHA
RicaellaReyes,@aalibre uplb again!!! Lol
jadine_uplb,"We don't wanna win for fame, we wanna win because James Reid deserves to win! 

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"REIDY TO WIN
#VoteJamesFPP #KCA  https://t.co/vM1tB6EHWQ"
jadine_uplb,"Let's do this for @JayeHanash and @hellobangsie  <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
REIDY TO WIN

#VoteJamesFPP #KCA  https://t.co/ZRz7MXGdbz"
rakkiroad,Please follow @jadine_uplb <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> https://t.co/XX0z2uzSA4
jadine_uplb,"TEAM REAL

REIDY TO WIN

#VoteJamesFPP #KCA  https://t.co/rge63mNkhB"
rakkiroad,"@zarzarinaG Nga pala, if like mo ang JaDine we have an acct @jadine_uplb please follow <U+263A>"
UPLB_SocioSoc,"Incentives? INCENTIVES!

Here are the required classes and incentives for tomorrow's symposium

See you there!... https://t.co/XfX5mzVP24"
loralozano,"Hello @jadine_uplb <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY TO WIN
#VoteJamesFPP #kca https://t.co/bjPRR8Hw9G"
jadine_uplb,"REIDY TO WIN this thing @JayeHanash!

#VoteJamesFPP #KCA"
ComradeSnarky_,Duterte @ UPLB ( <U+0361>ﾰ <U+035C><U+0296> <U+0361>ﾰ)<U+2727>
happy4e,"<U+0627><U+0636><U+063A><U+0637> <U+0648><U+062D><U+0645><U+0644> <U+0627><U+0644><U+0641><U+064A><U+062F><U+064A><U+0648> <U+0628><U+0627><U+0644><U+0643><U+0627><U+0645><U+0644>..https://t.co/tQa7gdbF3P  https://t.co/aFnU40F0St
<U+0635><U+062F><U+0631>
<U+0641><U+064A><U+062F><U+064A><U+0648>_<U+0633><U+0643><U+0633>
<U+0645><U+0635>
<U+0633><U+0643><U+0633>_<U+0639><U+0631><U+0628><U+064A>
UPLB"
jadine_uplb,"@charlenearkaina Char, follow our acct. This is ours - @rakkiroad. DM me and I'll give you the acct's password. Let's go!!!"
asshulz,KINAKABAHAN AKO pupunta si duterte sa uplb this week baka kidnapin ako at patayin for my tweets in the past....
jadine_uplb,@loralozano DM me. I'll give you the accts password.
jadine_uplb,@loralozano Lora. Follow this acct. This is ours! - @rakkiroad
jadine_uplb,"Hi Ms @JadinePublicist, we know we are still starting in this account but we need a shout out to you! Team UPLB here in support with JaDine!"
erickcharought,"@jktabamo ISANG MALAKING PRIBILEHIYO PO NA MABATI AKO NG UPCAT UPLB CHEMENG PASSER, UETYKSCHO, TNHS VALED AT MASAYANG LOVELIFE NA SI KENNETH"
dlssntsbrndll,@danetydeity musta uplb? :)
myelski,"The PUBLIC is invited. 
03.11.16 | 2:00 - 4:00 PM | DL Umali Hall, UPLB https://t.co/CQUphbfn0r"
upphotos2003,<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> alwaysyouruniverse: Life is a blur. #panning #photography #UPLB #litshot #upphotos2003 https://t.co/Btc6DUwvL8
siyielian,Sayang di ako sumama pumuntang UPLB kanina nakita ko sana. Nagluto kasi kami huhu<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
tousmesdefauts,@michaelgemina @JensenXFlips @LadiesCHOI huyyy mag-UPLB kayo minsan ha? hahaha thank u <U+2764><U+FE0F><U+2764><U+FE0F>
_genebro,UPLB TOMORROW MORNING :)
micahramirez01,Sana manalo na rin ang CEAT faculty women's vball team sa Palarong UPLB.<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
imsupereli,"Uy tara UPLB friends sali tayo dito hihi brought to u by @UPLBForestrySoc 
#TSG2016 #TimpalakanNa https://t.co/9JMlesHhCx"
tibaraeaminor,"Hmm.. Friday? Sana makapunta ako &gt;.&lt;
""@UPLBConyos: Pupunta si #PHVoteDuterte sa UPLB on  11 March. #PiliPinas2016"""
ssharrina,waaahhh! sana makapunta parin ako sa UPLB hahaha
UPLBConyos,Pupunta si #PHVoteDuterte sa UPLB on  11 March. #PiliPinas2016
Glacelle_Alyne,"My newfound friend. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> @ Ginhawa Cafe, UPLB https://t.co/UFiUtlXTEq"
sujukiss824,bakit kaya lagi na lang akong pinagkakaisahan ng yfl uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> makalipat na nga sa yfl pup <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><U+2665> HAHAHAHAHAHAHA
grazienjh,@attorninichips I'll try to go to UPM since I have other friends din dyan HAHA. Or ikaw pumunta ng UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
leeminJOE,@janavcr wow naman Miss UPLB hahaha
__NoPunIntended,@disheveled_ UPLB days hahahaha
AlisteContreras,I wish her time and my time would agree so that I could visit her in UPLB tho.
LizquenPatronus,"Mag-taping kayo dito sa UPLB pls. 

AskLiza 
#VoteEnriqueFPP #KCA"
elenaaacruz_,goodevening from UPLB to Bagiuo
milinggayy,QTP2T ng mga dp!!!! Happy anniv to my true love @STP_UPLB <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>
UPLB_SChemES,Thank you memcom sa libreng lunch kanina. Nag enjoy at nabusog ang brods and sisses kanina! #EngMeet2016
ricklesss11,"Block 20 Hum ST 20 goes to UPLB feat Raf
@brentngo @patriciaenrile @itsjulesybee @k3v1n11 @kikaidizon @XavAlcantara https://t.co/J9W2RRpqZW"
marvinolaes,UP Dulaang Laboratoryo's Coro de los Diablos at UPLB! First run through tonight. https://t.co/srHEd8gvUr
gabrielidad,@_angejemo tnx to AFFS UPLB's process! HAHAHA
joesephyfinn,@mhaikkun always like ALWAYS WHICH IS WHY I ALWAYS THINK WHY AM I IN UBELT AREA WHILE MOST OF YOU ARE IN UPD AND WE HAVE UPM AND UPLB PEEPS
mfrsamonte,"still at uplb, lol what school?????"
REDigestion,Sa pagkumpas ng iyong kamay. @ Dtri - Uplb https://t.co/nlXHK03jGa
gabrielidad,"So I have decided to not play in this year's Palarong UPLB. 

ansaquette saquette :---("
clintzoned,Nangati katawan ko kakahiga sa freedom park. :( #uplb
hansaedrian,"Wala na bang pasok sa palarong UPLB, chancy? Jk"
kimikimiddu,Had a great day with UPLB EngSoc. :)) thank you so much brods and sisses! &lt;3
lorenzobalayan,"Bakit tuwing sinasabi kong I'm from UPLB people are like ""woah talino"" hahahahaha like bruh this place just showed me how dumb I actually am"
igicentricity,"uplbseles FIGHT!! @ Copeland Gym, UPLB https://t.co/4GIxOAmAsA"
MySuperKimly,UPD x UPLB fans of @MyJaps<ed><U+00A0><U+00BD><ed><U+00B2><U+0096> #OneLoveForJAPS
Politiko_Ph,"Anton Lagdameo tags along Bongbong, Martin Romualdez to UPLB
https://t.co/nYNFhTwbyD

@AFLagdameo @MartinRomualdez @bongbongmarcos"
jeffvanguardia,off to UPLB
benjwarmerz,UPLB College of Agriculture's 107th Foundation Day happening now!!
aljapar29,"Kubyertos! <ed><U+00A0><U+00BC><ed><U+00BD><U+00B4>
#AsusZen2graphy #SeeWhatOthersCantSee #UPLB #DonBenitosBarAndRestaurant #Igers https://t.co/SWcP87VBOc"
FrancesNavida,"Pelikultura 3-4-16

A collection of short films #latepost @ UPLB https://t.co/ene8yyUc5U"
khristinyxcz,Hi my name is Khristine Manalo. I invite you to go at UPLB to watch our theater see you guys. This coming tuesday. Buy your ticket now <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
AFFS_UPLB,"Thanks for radiating the good vibes! Happy birthday to our wittiest sis, @fellicecity_ stay charming and lovely <ed><U+00A0><U+00BD><ed><U+00B2><U+0093><U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> https://t.co/4EZNxRsY2S"
gregsroc,"Bakit trending yung #AfterMyDeath?

#AfterMyDeath please scatter my remains around UPLB.

P.S., I don't want to be cremated."
triciaaaaaaaa_,1000 photos of UPLB in just almost 4 minutes <U+2764><U+FE0F> https://t.co/hPG6HAsLXq
